date,stock_id,country,revenue,revenue_month,revenue_year,revenue_available_date
2025-12-01,1235,Taiwan,11362000,12,2025,2026-01-10
2025-01-01,1236,Taiwan,295078000,1,2025,2025-02-10
2025-02-01,1236,Taiwan,87822000,2,2025,2025-03-10
2025-03-01,1236,Taiwan,133073000,3,2025,2025-04-10
2025-04-01,1236,Taiwan,125303000,4,2025,2025-05-10
2025-05-01,1236,Taiwan,112127000,5,2025,2025-06-10
2025-06-01,1236,Taiwan,96579000,6,2025,2025-07-10
2025-07-01,1236,Taiwan,136074000,7,2025,2025-08-10
2025-08-01,1236,Taiwan,163447000,8,2025,2025-09-10
2025-09-01,1236,Taiwan,229974000,9,2025,2025-10-10
2025-10-01,1236,Taiwan,116272000,10,2025,2025-11-10
2025-11-01,1236,Taiwan,120899000,11,2025,2025-12-10
2025-12-01,1236,Taiwan,196864000,12,2025,2026-01-10
2025-01-01,1240,Taiwan,231435000,1,2025,2025-02-10
2025-02-01,1240,Taiwan,202227000,2,2025,2025-03-10
2025-03-01,1240,Taiwan,249994000,3,2025,2025-04-10
2025-04-01,1240,Taiwan,211888000,4,2025,2025-05-10
2025-05-01,1240,Taiwan,237227000,5,2025,2025-06-10
2025-06-01,1240,Taiwan,217592000,6,2025,2025-07-10
2025-07-01,1240,Taiwan,214130000,7,2025,2025-08-10
2025-08-01,1240,Taiwan,230525000,8,2025,2025-09-10
2025-09-01,1240,Taiwan,250266000,9,2025,2025-10-10
2025-10-01,1240,Taiwan,235015000,10,2025,2025-11-10
2025-11-01,1240,Taiwan,222573000,11,2025,2025-12-10
2025-12-01,1240,Taiwan,240962000,12,2025,2026-01-10
2025-01-01,1256,Taiwan,328850000,1,2025,2025-02-10
2025-02-01,1256,Taiwan,179442000,2,2025,2025-03-10
2025-03-01,1256,Taiwan,226637000,3,2025,2025-04-10
2025-04-01,1256,Taiwan,291642000,4,2025,2025-05-10
2025-05-01,1256,Taiwan,384691000,5,2025,2025-06-10
2025-06-01,1256,Taiwan,377955000,6,2025,2025-07-10
2025-07-01,1256,Taiwan,507659000,7,2025,2025-08-10
2025-08-01,1256,Taiwan,516828000,8,2025,2025-09-10
2025-09-01,1256,Taiwan,419697000,9,2025,2025-10-10
2025-10-01,1256,Taiwan,232172000,10,2025,2025-11-10
2025-11-01,1256,Taiwan,240414000,11,2025,2025-12-10
2025-12-01,1256,Taiwan,408763000,12,2025,2026-01-10
2025-01-01,1259,Taiwan,532865000,1,2025,2025-02-10
2025-02-01,1259,Taiwan,442735000,2,2025,2025-03-10
2025-03-01,1259,Taiwan,494052000,3,2025,2025-04-10
2025-04-01,1259,Taiwan,479095000,4,2025,2025-05-10
2025-05-01,1259,Taiwan,531652000,5,2025,2025-06-10
2025-06-01,1259,Taiwan,517989000,6,2025,2025-07-10
2025-07-01,1259,Taiwan,511150000,7,2025,2025-08-10
2025-08-01,1259,Taiwan,518800000,8,2025,2025-09-10
2025-09-01,1259,Taiwan,505139000,9,2025,2025-10-10
2025-10-01,1259,Taiwan,518315000,10,2025,2025-11-10
2025-11-01,1259,Taiwan,503596000,11,2025,2025-12-10
2025-12-01,1259,Taiwan,507963000,12,2025,2026-01-10
2025-01-01,1264,Taiwan,681442000,1,2025,2025-02-10
2025-02-01,1264,Taiwan,412565000,2,2025,2025-03-10
2025-03-01,1264,Taiwan,554832000,3,2025,2025-04-10
2025-04-01,1264,Taiwan,567719000,4,2025,2025-05-10
2025-05-01,1264,Taiwan,540780000,5,2025,2025-06-10
2025-06-01,1264,Taiwan,495311000,6,2025,2025-07-10
2025-07-01,1264,Taiwan,545535000,7,2025,2025-08-10
2025-08-01,1264,Taiwan,526051000,8,2025,2025-09-10
2025-09-01,1264,Taiwan,626202000,9,2025,2025-10-10
2025-10-01,1264,Taiwan,511969000,10,2025,2025-11-10
2025-11-01,1264,Taiwan,550760000,11,2025,2025-12-10
2025-12-01,1264,Taiwan,685986000,12,2025,2026-01-10
2025-01-01,1268,Taiwan,781931000,1,2025,2025-02-10
2025-02-01,1268,Taiwan,466265000,2,2025,2025-03-10
2025-03-01,1268,Taiwan,487263000,3,2025,2025-04-10
2025-04-01,1268,Taiwan,410440000,4,2025,2025-05-10
2025-05-01,1268,Taiwan,539221000,5,2025,2025-06-10
2025-06-01,1268,Taiwan,465413000,6,2025,2025-07-10
2025-07-01,1268,Taiwan,459723000,7,2025,2025-08-10
2025-08-01,1268,Taiwan,494542000,8,2025,2025-09-10
2025-09-01,1268,Taiwan,512299000,9,2025,2025-10-10
2025-10-01,1268,Taiwan,515412000,10,2025,2025-11-10
2025-11-01,1268,Taiwan,540310000,11,2025,2025-12-10
2025-12-01,1268,Taiwan,554147000,12,2025,2026-01-10
2025-01-01,1294,Taiwan,41491000,1,2025,2025-02-10
2025-02-01,1294,Taiwan,59494000,2,2025,2025-03-10
2025-03-01,1294,Taiwan,73692000,3,2025,2025-04-10
2025-04-01,1294,Taiwan,72323000,4,2025,2025-05-10
2025-05-01,1294,Taiwan,52034000,5,2025,2025-06-10
2025-06-01,1294,Taiwan,70108000,6,2025,2025-07-10
2025-07-01,1294,Taiwan,57191000,7,2025,2025-08-10
2025-08-01,1294,Taiwan,68440000,8,2025,2025-09-10
2025-09-01,1294,Taiwan,70043000,9,2025,2025-10-10
2025-10-01,1294,Taiwan,60024000,10,2025,2025-11-10
2025-11-01,1294,Taiwan,70063000,11,2025,2025-12-10
2025-12-01,1294,Taiwan,83640000,12,2025,2026-01-10
2025-03-01,1295,Taiwan,95889000,3,2025,2025-04-10
2025-04-01,1295,Taiwan,116307000,4,2025,2025-05-10
2025-05-01,1295,Taiwan,104854000,5,2025,2025-06-10
