date,stock_id,EPS,statement_available_date
2020-12-31,1215,1.55,2021-03-31
2021-03-31,1215,1.45,2021-05-15
2021-06-30,1215,1.46,2021-08-14
2021-09-30,1215,1.07,2021-11-14
2021-12-31,1215,1.08,2022-03-31
2022-03-31,1215,1.22,2022-05-15
2022-06-30,1215,1.82,2022-08-14
2022-09-30,1215,1.28,2022-11-14
2022-12-31,1215,1.23,2023-03-31
2023-03-31,1215,1.43,2023-05-15
2023-06-30,1215,2.04,2023-08-14
2023-09-30,1215,2.2,2023-11-14
2023-12-31,1215,2.03,2024-03-31
2024-03-31,1215,1.25,2024-05-15
2024-06-30,1215,1.28,2024-08-14
2024-09-30,1215,1.74,2024-11-14
2024-12-31,1215,2.28,2025-03-31
2025-03-31,1215,2.38,2025-05-15
2025-06-30,1215,2.58,2025-08-14
2025-09-30,1215,2.99,2025-11-14
2025-12-31,1215,2.45,2026-03-31
2026-03-31,1215,1.26,2026-05-15
2026-06-30,1215,1.97,2026-08-14
2019-03-31,1216,0.93,2019-05-15
2019-06-30,1216,1.02,2019-08-14
2019-09-30,1216,0.91,2019-11-14
2019-12-31,1216,0.5,2020-03-31
2020-03-31,1216,0.79,2020-05-15
2020-06-30,1216,1.12,2020-08-14
2020-09-30,1216,1.26,2020-11-14
2020-12-31,1216,0.62,2021-03-31
2021-03-31,1216,0.95,2021-05-15
2021-06-30,1216,0.95,2021-08-14
2021-09-30,1216,1.01,2021-11-14
2021-12-31,1216,0.6,2022-03-31
2022-03-31,1216,0.75,2022-05-15
2022-06-30,1216,0.85,2022-08-14
2022-09-30,1216,0.97,2022-11-14
2022-12-31,1216,0.45,2023-03-31
2023-03-31,1216,0.88,2023-05-15
2023-06-30,1216,1.09,2023-08-14
2023-09-30,1216,0.98,2023-11-14
2023-12-31,1216,0.28,2024-03-31
2024-03-31,1216,0.97,2024-05-15
2024-06-30,1216,1.04,2024-08-14
2024-09-30,1216,1.07,2024-11-14
2024-12-31,1216,0.55,2025-03-31
2025-03-31,1216,0.91,2025-05-15
2025-06-30,1216,0.97,2025-08-14
2025-09-30,1216,1.06,2025-11-14
2025-12-31,1216,0.52,2026-03-31
2026-03-31,1216,1.15,2026-05-15
2026-06-30,1216,1.41,2026-08-14
2019-03-31,1217,0.03,2019-05-15
2019-06-30,1217,0.01,2019-08-14
2019-09-30,1217,0.16,2019-11-14
2019-12-31,1217,-0.1,2020-03-31
2020-03-31,1217,0.05,2020-05-15
2020-06-30,1217,0.1,2020-08-14
2020-09-30,1217,0.36,2020-11-14
2020-12-31,1217,-0.04,2021-03-31
2021-03-31,1217,0.14,2021-05-15
2021-06-30,1217,0.23,2021-08-14
2021-09-30,1217,0.18,2021-11-14
2021-12-31,1217,-0.14,2022-03-31
2022-03-31,1217,0.1,2022-05-15
2022-06-30,1217,-0.04,2022-08-14
2022-09-30,1217,0.52,2022-11-14
2022-12-31,1217,-0.03,2023-03-31
2023-03-31,1217,0.13,2023-05-15
2023-06-30,1217,0.04,2023-08-14
2023-09-30,1217,0.18,2023-11-14
2023-12-31,1217,0.05,2024-03-31
2024-03-31,1217,0.16,2024-05-15
2024-06-30,1217,0.24,2024-08-14
2024-09-30,1217,0.23,2024-11-14
2024-12-31,1217,-0.04,2025-03-31
2025-03-31,1217,-0.19,2025-05-15
2025-06-30,1217,0.14,2025-08-14
2025-09-30,1217,0.36,2025-11-14
2025-12-31,1217,0.11,2026-03-31
2026-03-31,1217,-0.13,2026-05-15
2019-03-31,1218,0.22,2019-05-15
2019-06-30,1218,0.28,2019-08-14
2019-09-30,1218,0.54,2019-11-14
2019-12-31,1218,0.16,2020-03-31
2020-03-31,1218,0.26,2020-05-15
2020-06-30,1218,0.47,2020-08-14
2020-09-30,1218,0.7,2020-11-14
2020-12-31,1218,0.32,2021-03-31
2021-03-31,1218,0.34,2021-05-15
2021-06-30,1218,0.28,2021-08-14
2021-09-30,1218,0.29,2021-11-14
2021-12-31,1218,0.31,2022-03-31
2022-03-31,1218,0.29,2022-05-15
2022-06-30,1218,0.27,2022-08-14
2022-09-30,1218,0.32,2022-11-14
2022-12-31,1218,11.29,2023-03-31
2023-03-31,1218,-0.14,2023-05-15
2023-06-30,1218,-0.79,2023-08-14
2023-09-30,1218,0.36,2023-11-14
2023-12-31,1218,0.4,2024-03-31
2024-03-31,1218,0.32,2024-05-15
2024-06-30,1218,0.42,2024-08-14
2024-09-30,1218,0.55,2024-11-14
2024-12-31,1218,0.24,2025-03-31
2025-03-31,1218,0.37,2025-05-15
2025-06-30,1218,0.29,2025-08-14
2025-09-30,1218,0.41,2025-11-14
2025-12-31,1218,0.52,2026-03-31
2026-03-31,1218,0.32,2026-05-15
2026-06-30,1218,-1.94,2026-08-14
2019-03-31,1219,0.1,2019-05-15
2019-06-30,1219,0.04,2019-08-14
2019-09-30,1219,0.09,2019-11-14
2019-12-31,1219,0.4,2020-03-31
2020-03-31,1219,0.83,2020-05-15
2020-06-30,1219,0.23,2020-08-14
2020-09-30,1219,0.41,2020-11-14
2020-12-31,1219,0.43,2021-03-31
2021-03-31,1219,0.73,2021-05-15
2021-06-30,1219,0.15,2021-08-14
2021-09-30,1219,-0.09,2021-11-14
2021-12-31,1219,0.21,2022-03-31
2022-03-31,1219,0.63,2022-05-15
2022-06-30,1219,0.42,2022-08-14
2022-09-30,1219,-0.1,2022-11-14
2022-12-31,1219,0.05,2023-03-31
2023-03-31,1219,0.19,2023-05-15
2023-06-30,1219,0.23,2023-08-14
2023-09-30,1219,0.29,2023-11-14
2023-12-31,1219,0.24,2024-03-31
2024-03-31,1219,0.15,2024-05-15
2024-06-30,1219,0.18,2024-08-14
2024-09-30,1219,0.04,2024-11-14
2024-12-31,1219,0.17,2025-03-31
2025-03-31,1219,0.1,2025-05-15
2025-06-30,1219,-0.04,2025-08-14
2025-09-30,1219,0.19,2025-11-14
2025-12-31,1219,0.2,2026-03-31
2026-03-31,1219,0.11,2026-05-15
2026-06-30,1219,-1.01,2026-08-14
2019-03-31,1220,0.05,2019-05-15
2019-06-30,1220,0.14,2019-08-14
2019-09-30,1220,0.26,2019-11-14
2019-12-31,1220,0.25,2020-03-31
2020-03-31,1220,0.09,2020-05-15
2020-06-30,1220,0.3,2020-08-14
2020-09-30,1220,0.31,2020-11-14
2020-12-31,1220,0.32,2021-03-31
2021-03-31,1220,0.37,2021-05-15
2021-06-30,1220,0.32,2021-08-14
2021-09-30,1220,0.16,2021-11-14
2021-12-31,1220,0.15,2022-03-31
2022-03-31,1220,0.19,2022-05-15
2022-06-30,1220,0.1,2022-08-14
2022-09-30,1220,-0.08,2022-11-14
2022-12-31,1220,0.06,2023-03-31
2023-03-31,1220,-0.04,2023-05-15
2023-06-30,1220,0.2,2023-08-14
2023-09-30,1220,0.23,2023-11-14
2023-12-31,1220,0.37,2024-03-31
2024-03-31,1220,0.29,2024-05-15
2024-06-30,1220,0.43,2024-08-14
2024-09-30,1220,0.34,2024-11-14
2024-12-31,1220,0.12,2025-03-31
2025-03-31,1220,-0.1,2025-05-15
2025-06-30,1220,-0.01,2025-08-14
2025-09-30,1220,0.24,2025-11-14
2025-12-31,1220,-0.05,2026-03-31
2026-03-31,1220,-0.17,2026-05-15
2026-06-30,1220,0.05,2026-08-14
2019-03-31,1225,0.36,2019-05-15
2019-06-30,1225,0.33,2019-08-14
2019-09-30,1225,0.42,2019-11-14
2019-12-31,1225,0.44,2020-03-31
2020-03-31,1225,0.36,2020-05-15
2020-06-30,1225,0.29,2020-08-14
2020-09-30,1225,0.39,2020-11-14
2020-12-31,1225,0.68,2021-03-31
2021-03-31,1225,0.91,2021-05-15
2021-06-30,1225,0.47,2021-08-14
2021-09-30,1225,0.13,2021-11-14
2021-12-31,1225,0.56,2022-03-31
2022-03-31,1225,0.94,2022-05-15
2022-06-30,1225,0.67,2022-08-14
2022-09-30,1225,-0.05,2022-11-14
2022-12-31,1225,0.13,2023-03-31
2023-03-31,1225,0.3,2023-05-15
2023-06-30,1225,0.18,2023-08-14
2023-09-30,1225,0.56,2023-11-14
2023-12-31,1225,0.58,2024-03-31
2024-03-31,1225,0.31,2024-05-15
2024-06-30,1225,0.59,2024-08-14
2024-09-30,1225,0.3,2024-11-14
2024-12-31,1225,0.3,2025-03-31
2025-03-31,1225,0.38,2025-05-15
2025-06-30,1225,0.43,2025-08-14
2025-09-30,1225,0.36,2025-11-14
2025-12-31,1225,0.5,2026-03-31
2026-03-31,1225,0.44,2026-05-15
2026-06-30,1225,-1.09,2026-08-14
2019-03-31,1227,0.87,2019-05-15
2019-06-30,1227,0.67,2019-08-14
2019-09-30,1227,1.15,2019-11-14
2019-12-31,1227,1.07,2020-03-31
2020-03-31,1227,0.67,2020-05-15
2020-06-30,1227,1.07,2020-08-14
2020-09-30,1227,1.05,2020-11-14
2020-12-31,1227,0.75,2021-03-31
2021-03-31,1227,0.62,2021-05-15
2021-06-30,1227,0.9,2021-08-14
2021-09-30,1227,0.65,2021-11-14
2021-12-31,1227,0.53,2022-03-31
2022-03-31,1227,0.36,2022-05-15
2022-06-30,1227,0.18,2022-08-14
2022-09-30,1227,0.54,2022-11-14
2022-12-31,1227,0.27,2023-03-31
2023-03-31,1227,0.29,2023-05-15
2023-06-30,1227,0.2,2023-08-14
2023-09-30,1227,0.55,2023-11-14
2023-12-31,1227,0.31,2024-03-31
2024-03-31,1227,0.52,2024-05-15
2024-06-30,1227,0.32,2024-08-14
2024-09-30,1227,0.54,2024-11-14
2024-12-31,1227,0.52,2025-03-31
2025-03-31,1227,0.39,2025-05-15
2025-06-30,1227,0.13,2025-08-14
2025-09-30,1227,0.41,2025-11-14
2025-12-31,1227,0.39,2026-03-31
2026-03-31,1227,0.52,2026-05-15
2026-06-30,1227,0.28,2026-08-14
2019-03-31,1229,1.0,2019-05-15
2019-06-30,1229,0.25,2019-08-14
2019-09-30,1229,0.91,2019-11-14
2019-12-31,1229,0.41,2020-03-31
2020-03-31,1229,0.2,2020-05-15
